Crawled Date,List Position on Page,List Name,List Description,GPT Position in List,GPT Name,GPT Description,GPT Author,GPT Logo Image URL
"2024-03-06",1,"Featured","Curated top picks from this week",1,"Book Creator Guide","A writing assistant specializing in book creation, web research, and format recommendations.","By Choi Yong","https://files.oaiusercontent.com/file-QDv14Pkaw2Q5LPiYRqb8tSan?se=2123-10-18T00%3A49%3A39Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3D3efca56e-e967-4f56-8a67-f7fc3700837f.png&sig=2Ok%2BcQYxMGyPWf7AFAl50OsLU9QlSeo/zbFGhUue2Xk%3D"
"2024-03-06",1,"Featured","Curated top picks from this week",2,"Gauntlet: Movies","Enjoy this Five-strike movie trivia game.","By Josh Brent N. Villocido","https://files.oaiusercontent.com/file-w3rqhLINSmVQy92lM7ikouJn?se=2123-10-25T08%3A53%3A07Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3Dgauntlet%2520movies.png&sig=tJWD4yozX1vr5bDUqQhEJV2moIOCqlCC62T0L0yyiMU%3D"
"2024-03-06",1,"Featured","Curated top picks from this week",3,"Escape the Haunt","A text-based haunted hotel escape adventure.","By Matthew Schlicht","https://files.oaiusercontent.com/file-2yDuma8uWgcfRI6hObA0IcNL?se=2123-10-15T04%3A00%3A28Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3D27d9db5c-ad2d-4d9c-92e2-e3c0e7e1015e.png&sig=%2BLfMc3Au3GE9bGi8uf2qjIOTAojbyVf1SOqiG7bQhvc%3D"
"2024-03-06",1,"Featured","Curated top picks from this week",4,"The Designer's Mood Board","Mood Board Specialist","By Brendan Donnelly","https://files.oaiusercontent.com/file-AKSh8I2Hd3ICxoB5xN9Xzz1e?se=2123-12-18T08%3A35%3A25Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D1209600%2C%20immutable&rscd=attachment%3B%20filename%3Ddesigners%2520moodboard%2520logo.jpg&sig=QejsS%2BeAn7Fu0fbEZNyIL7EMQty0bil0LrqG5jWwjus%3D"
"2024-03-06",2,"Trending","Most popular GPTs by our community",1,"image generator","A GPT specialized in generating and refining images with a mix of professional and friendly tone.image generator","By NAIF J ALOTAIBI","https://files.oaiusercontent.com/file-M1df4Ab7Ow6QCJ871tBUsi0x?se=2123-11-08T17%3A52%3A06Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3D40face33-c6ad-4a5d-b402-5f7126e8325f.png&sig=G9qnRNHbnnN1gnz2NzVSyjwWvQ6hrGjr%2Be7hbYgnjRs%3D"
"2024-03-06",2,"Trending","Most popular GPTs by our community",2,"Write For Me","Write tailored, engaging content with a focus on quality, relevance and precise word count.","By puzzle.today","https://files.oaiusercontent.com/file-hVjI65nZeCAowpoArhSWjynX?se=2123-10-24T11%3A26%3A42Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3Ded9312a8-bf37-4345-93bd-2e8b54bc2a89.png&sig=nw8OKVAhe0pqBOvG8jlopI5cQ2npVyuHjAjSpr%2BWKFo%3D"
"2024-03-06",2,"Trending","Most popular GPTs by our community",3,"Canva","Effortlessly design anything: presentations, logos, social media posts and more.","By canva.com","https://files.oaiusercontent.com/file-6qPLxHx8u9lf2XszRtWG25RD?se=2123-10-14T00%3A38%3A41Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3Dlogo.png&sig=LV3ZLlRkK4S61JLukf%2B10WLwU4%2B7%2B6NNkTLm2gsbw%2BU%3D"
"2024-03-06",2,"Trending","Most popular GPTs by our community",4,"Consensus","Your AI Research Assistant. Search 200M academic papers from Consensus, get science-based answers, and draft content with accurate citations.","By consensus.app","https://files.oaiusercontent.com/file-uUsDBz1ABhyOXkRiWhe5xohZ?se=2123-12-15T23%3A21%3A21Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D1209600%2C%20immutable&rscd=attachment%3B%20filename%3D2092%2520%25282%2529.png&sig=0CNjR0V7ipTUL/6R3rKszqP6mB25NOc2WjtIuDEwhrg%3D"
"2024-03-06",2,"Trending","Most popular GPTs by our community",5,"Scholar GPT","Enhance research with 200M+ resources and built-in critical reading skills. Access Google Scholar, PubMed, JSTOR, Arxiv, and more, effortlessly.","By awesomegpts.ai","https://files.oaiusercontent.com/file-gk3ACPm7Tvy5DHe5aE9fqJ0W?se=2123-12-19T11%3A10%3A14Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D1209600%2C%20immutable&rscd=attachment%3B%20filename%3DFrame%2520612.png&sig=dTPAPU4773Mz4PPaC6kCzsTf7ZiFgLSs/z3%2B3uGxkqY%3D"
"2024-03-06",2,"Trending","Most popular GPTs by our community",6,"Logo Creator","Use me to generate professional logo designs and app icons!","By Chase Lean","https://files.oaiusercontent.com/file-dqdS1PEGuFcQ1GliVE2qBchP?se=2123-10-17T09%3A45%3A51Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3D_7c6e5ee7-e05e-4685-bd8a-c3d81188ceb8.png&sig=0b5iWxPIKs//MVBoEqZ93ADvuWW%2BFlzsma%2BVtkKXYls%3D"
"2024-03-06",2,"Trending","Most popular GPTs by our community",7,"Cartoonize Yourself","Turns photos into their cartoon versions. Upload your photo to try","By karenxcheng.com","https://files.oaiusercontent.com/file-bUZE1j8Ld1SJq9wEeJDfRGuM?se=2123-11-03T02%3A43%3A43Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3D980728ef-7d57-4b4c-b0a5-dcf9e00676e9.png&sig=JT%2BynnJL4ai6H70cscNUpbO63WcvWtxZVZMFY2L3gag%3D"
"2024-03-06",2,"Trending","Most popular GPTs by our community",8,"Midjourney","I help craft detailed image prompts.","By promptboom.com","https://files.oaiusercontent.com/file-G2EfRqadIiASU86zknerDj8U?se=2123-10-17T03%3A52%3A57Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3D6bfeb4de-edbe-4eb3-b72a-204ff083c88b.png&sig=qjvZj4sJq7vt37xiYZJ0boJGTyI9G/qadgqOZs9DukY%3D"
"2024-03-06",2,"Trending","Most popular GPTs by our community",9,"Video GPT by VEED","AI Video Maker. Generate videos for social media - YouTube, Instagram, TikTok and more! Free text to video & speech tool with AI Avatars, TTS, music, and stock footage.","By veed.io","https://files.oaiusercontent.com/file-SlTJOEwrBwlAnMgwOzlWyFUp?se=2123-12-29T14%3A58%3A36Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D1209600%2C%20immutable&rscd=attachment%3B%20filename%3Dai%2520text%2520to%2520video%2520for%2520social%2520media.png&sig=81ayZwF3xkQIU9h5SLyC2Dfka1emcCCu8814lHfXhjc%3D"
